"DATA","SUSCETIVEIS_CENARIO_3","CUM_RECUPERADOS_CENARIO_3","EXPOSTOS_CENARIO_3","INFECTANTES_CENARIO_3","CUM_OBITOS_CENARIO_3","SUSCETIVEIS_CENARIO_1","CUM_RECUPERADOS_CENARIO_1","EXPOSTOS_CENARIO_1","INFECTANTES_CENARIO_1","CUM_OBITOS_CENARIO_1","SUSCETIVEIS_CENARIO_2","CUM_RECUPERADOS_CENARIO_2","EXPOSTOS_CENARIO_2","INFECTANTES_CENARIO_2","CUM_OBITOS_CENARIO_2"
2020-08-08,487639,10494,424,2332,84,487639,10494,424,2332,84,487639,10494,424,2332,84
2020-08-09,487583,10703,394,2208,85,487583,10703,394,2208,85,487583,10703,394,2208,85
2020-08-10,487319,10921,438,2208,87,487319,10921,438,2208,87,487319,10921,438,2208,87
2020-08-11,487080,11141,458,2207,87,487080,11141,458,2207,87,487080,11141,458,2207,87
2020-08-12,487020,11264,474,2125,90,487020,11264,474,2125,90,487020,11264,474,2125,90
2020-08-13,487037,11449,386,2009,92,487037,11449,386,2009,92,487037,11449,386,2009,92
2020-08-14,487039,11639,322,1879,94,487039,11639,322,1879,94,487039,11639,322,1879,94
2020-08-15,486911,11807,300,1859,96,486911,11807,300,1859,96,486911,11807,300,1859,96
2020-08-16,486956,11944,248,1724,101,486956,11944,248,1724,101,486956,11944,248,1724,101
2020-08-17,486878,12089,264,1638,104,486878,12089,264,1638,104,486878,12089,264,1638,104
2020-08-18,486776,12221,280,1590,106,486776,12221,280,1590,106,486776,12221,280,1590,106
2020-08-19,486746,12332,284,1504,107,486746,12332,284,1504,107,486746,12332,284,1504,107
2020-08-20,486636,12522,264,1442,109,486636,12522,264,1442,109,486636,12522,264,1442,109
2020-08-21,486526,12676,248,1414,109,486526,12676,248,1414,109,486526,12676,248,1414,109
2020-08-22,486454,12799,248,1358,114,486454,12799,248,1358,114,486454,12799,248,1358,114
2020-08-23,486480,12903,236,1240,114,486480,12903,236,1240,114,486480,12903,236,1240,114
2020-08-24,486450,12990,230,1186,117,486450,12990,230,1186,117,486450,12990,230,1186,117
2020-08-25,486382,13095,247,1131,118,486382,13095,247,1131,118,486382,13095,247,1131,118
2020-08-26,486228,13146,313,1167,119,486228,13146,313,1167,119,486228,13146,313,1167,119
2020-08-27,486064,13252,337,1201,119,486064,13252,337,1201,119,486064,13252,337,1201,119
2020-08-28,485921,13373,364,1195,120,485921,13373,364,1195,120,485921,13373,364,1195,120
2020-08-29,485815,13427,345,1264,122,485815,13427,345,1264,122,485815,13427,345,1264,122
2020-08-30,485717,13512,342,1279,123,485717,13512,342,1279,123,485717,13512,342,1279,123
2020-08-31,485589,13618,364,1279,123,485589,13618,364,1279,123,485589,13618,364,1279,123
2020-09-01,485492,13674,352,1332,123,485492,13674,352,1332,123,485492,13674,352,1332,123
2020-09-02,485377,13747,355,1370,124,485377,13747,355,1370,124,485377,13747,355,1370,124
2020-09-03,485261,13847,355,1386,124,485261,13847,355,1386,124,485261,13847,355,1386,124
2020-09-04,485125,13920,360,1444,124,485125,13920,360,1444,124,485125,13920,360,1444,124
2020-09-05,484935,14060,360,1494,124,484935,14060,360,1494,124,484935,14060,360,1494,124
2020-09-06,484801,14183,354,1510,125,484801,14183,354,1510,125,484801,14183,354,1510,125
2020-09-07,484638,14283,365,1562,125,484638,14283,365,1562,125,484638,14283,365,1562,125
2020-09-08,484549,14403,357,1538,126,484549,14403,357,1538,126,484549,14403,357,1538,126
2020-09-09,484424,14524,363,1536,126,484424,14524,363,1536,126,484424,14524,363,1536,126
2020-09-10,484281,14645,361,1559,127,484281,14645,361,1559,127,484281,14645,361,1559,127
2020-09-11,484175,14754,362,1555,127,484175,14754,362,1555,127,484175,14754,362,1555,127
2020-09-12,484044,14877,365,1559,128,484044,14877,365,1559,128,484044,14877,365,1559,128
2020-09-13,483933,14998,359,1554,129,483933,14998,359,1554,129,483933,14998,359,1554,129
2020-09-14,483795,15112,367,1570,129,483795,15112,367,1570,129,483795,15112,367,1570,129
2020-09-15,483682,15235,361,1565,130,483682,15235,361,1565,130,483682,15235,361,1565,130
2020-09-16,483567.436418766,15338.371703435,309.305291137661,1626.74416471044,131.142421950946,483593.029543022,15338.2545226115,289.134509400599,1621.44029804976,131.141126916227,483580.636754326,15338.3112970177,298.901191422376,1624.00900286962,131.141754363833
2020-09-17,483449.372055899,15444.9278198449,280.630917912344,1665.74916960671,132.320036736708,483501.858166286,15444.0830286913,247.196854546927,1647.55125002683,132.31070044906,483476.480308987,15444.4920360863,263.355296049564,1656.35713824498,132.315220632153
2020-09-18,483329.048697298,15553.5495152837,264.974424754202,1691.90688320413,133.520479460343,483409.779809683,15550.9845812242,222.427753118397,1656.31572312007,133.492132854116,483370.823821969,15552.2253443111,242.930982617948,1673.51400583967,133.505845262244
2020-09-19,483207.167826749,15663.6048237295,256.680052300964,1710.81053132933,134.736765890853,483317.533589607,15658.1014406262,207.510137238934,1655.17888778516,134.675944742969,483264.404035842,15660.760762421,231.117997495263,1682.01186975779,134.705334483992
2020-09-20,483084.125485478,15774.7370718057,252.549774914187,1725.62271358295,135.964954219395,483225.540509827,15764.94471425,198.247838667543,1648.41020418171,135.856733073264,483157.640853582,15769.6704224903,224.208654325134,1685.57110992714,135.908959675401
2020-09-21,482960.145048487,15886.7452448204,250.77524760487,1738.131636174,137.20282291349,483134.039190015,15871.2370235994,192.234416877624,1638.45793713672,137.031432370872,483050.773759637,15878.7101869404,220.091350466102,1686.31068022949,137.114022727421
2020-09-22,482835.35228773,15999.5163394764,250.333904727608,1749.34834495898,138.449123106736,483043.163690103,15976.8222772597,188.089786754588,1626.72592830546,138.198317577071,482943.93950043,15987.7405639194,217.563474753473,1685.4374788637,138.318982032935
2020-09-23,482709.817807928,16112.9871119434,250.647496719303,1759.84442755522,139.70315585409,482952.988133153,16081.6139270244,185.022452793793,1614.01905483228,139.356432196342,482837.21631678,16096.6816662115,215.940104972825,1683.63895732476,139.522954710981
2020-09-24,482583.581037198,16227.1224474826,251.389014406496,1769.94296783095,140.964533081763,482863.552291226,16185.5652932322,182.578464418271,1600.79869077984,140.505260344089,482730.649130546,16205.4875586625,214.831156702841,1681.3067209838,140.725433104951
2020-09-25,482456.663790088,16341.9031288309,252.373515502489,1779.82652317024,142.233042408394,482774.8762559,16288.6525464039,180.497448534679,1587.32921049456,141.644538666616,482624.263886427,16314.1316479083,214.014465631783,1678.66387671759,141.926123315818
2020-09-26,482329.077935551,16457.3189192538,253.496392206222,1789.59818228675,143.508570701762,482686.968850191,16390.8649471142,178.630047231081,1573.76200698741,142.77414847617,482518.075718544,16422.5983610809,213.363504820516,1675.83756231602,143.124853238589
2020-09-27,482200.829732237,16573.3646508977,254.69846396045,1799.31609205569,144.791060848856,482599.832451895,16492.1992484174,176.890569563651,1560.18367623512,143.894053888829,482412.093600761,16530.8784063517,212.806217404498,1672.90025529895,144.321520183762
2020-09-28,482071.922279659,16690.0380125863,255.946238483575,1809.01298196366,146.080487307496,482513.465759306,16592.6564854973,175.229837813288,1546.64365103846,145.004266345024,482306.322994752,16638.966073507,212.301570228698,1669.89330046845,145.51606104438
2020-09-29,481942.35690418,16807.3382986347,257.220749821999,1818.70720508512,147.37684227874,482427.865377098,16692.2401344061,173.619614922123,1533.17004931345,146.104824260666,482200.767357933,16746.857696435,211.826200071133,1666.84031025675,146.708435304071
2020-09-30,481812.133942784,16925.2657011182,258.511246419805,1828.40898179227,148.680127885329,482343.026725691,16790.955055993,172.043673603587,1519.7787633561,147.195781355881,482095.429002165,16854.5507773962,211.36680796164,1663.75479711866,147.898615358834
2020-10-01,481681.253186384,17043.8209094697,259.811621752329,1838.12393064711,149.99035174659,482258.944562705,16888.8068901561,170.492674414184,1506.47867276447,148.277199960524,481990.309582741,16962.0434882244,210.915827290176,1660.64452074011,149.08658100452
2020-10-02,481549.714130625,17163.0048838742,261.118395835067,1847.85506519169,151.3075244741,482175.613281962,16985.8017083671,168.961228264781,1493.2746342322,149.349147174029,481885.410376859,17069.3343862192,210.468956503541,1657.51396412147,150.272316296995
2020-10-03,481417.516117865,17282.8187269518,262.429573741018,1857.60392318862,152.631658253565,482093.027084952,17081.945814327,167.446211720379,1480.16919633861,150.411692662329,481780.7324422,17176.4222523233,210.023753792646,1654.36574392045,151.455807763731
2020-10-04,481284.658417621,17403.2636110249,263.744000067503,1867.37120524609,153.962766041016,482011.180079141,17177.2456295824,165.945800788243,1467.16358309431,151.464907393741,481676.27670724,17283.3059989508,209.578836652118,1651.20141377153,152.637043385175
2020-10-05,481151.14027222,17524.3407368201,265.060993867497,1877.15713598648,155.300861106393,481930.066334346,17271.7076278733,164.458916771216,1454.25825809641,152.508862913404,481572.044022684,17389.9846174898,209.133425958173,1648.02192185329,153.816012014558
